2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:08,894.price-producer.INFO Today is 2023-10-02 at 07:40 PM
2023-10-02 19:40:08,894.price-producer.INFO Running on: posix Darwin 22.5.0
2023-10-02 19:40:08,894.price-producer.INFO Python version:  3.11.2
2023-10-02 19:40:08,894.price-producer.INFO Python path: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices/.venv
2023-10-02 19:40:08,894.price-producer.INFO Working dir: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices
2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:10,423.price-producer.INFO Offer to monitor RabbitMQ queues.
2023-10-02 19:40:10,588.price-producer.INFO Answer is y.
2023-10-02 19:40:10,641.price-producer.INFO Skipped header row
2023-10-02 20:22:41,288.price-producer.INFO [x] Sent ('12/16/13', '19.655') to 02-silver
2023-10-02 20:23:11,290.price-producer.INFO [x] Sent ('12/17/13', '1239.5') to 01-gold
2023-10-02 20:23:11,291.price-producer.INFO [x] Sent ('12/17/13', '19.975') to 02-silver
2023-10-02 20:23:41,297.price-producer.INFO [x] Sent ('12/18/13', '1218.4') to 01-gold
2023-10-02 20:23:41,298.price-producer.INFO [x] Sent ('12/18/13', '19.735') to 02-silver
2023-10-02 20:24:11,304.price-producer.INFO [x] Sent ('12/19/13', '1217.8') to 01-gold
2023-10-02 20:24:11,305.price-producer.INFO [x] Sent ('12/19/13', '19.71') to 02-silver
2023-10-02 20:24:41,312.price-producer.INFO [x] Sent ('12/20/13', '1188.8') to 01-gold
2023-10-02 20:24:41,312.price-producer.INFO [x] Sent ('12/20/13', '19.205') to 02-silver
2023-10-02 20:25:11,319.price-producer.INFO [x] Sent ('12/23/13', '1202.5') to 01-gold
2023-10-02 20:25:11,320.price-producer.INFO [x] Sent ('12/23/13', '19.42') to 02-silver
2023-10-02 20:25:41,326.price-producer.INFO [x] Sent ('12/24/13', '1197.8') to 01-gold
2023-10-02 20:25:41,327.price-producer.INFO [x] Sent ('12/24/13', '19.43') to 02-silver
2023-10-02 20:26:11,333.price-producer.INFO [x] Sent ('12/25/13', '1203.3') to 01-gold
2023-10-02 20:26:11,334.price-producer.INFO [x] Sent ('12/25/13', '19.484') to 02-silver
2023-10-02 20:26:41,341.price-producer.INFO [x] Sent ('12/26/13', '1203.8') to 01-gold
2023-10-02 20:26:41,343.price-producer.INFO [x] Sent ('12/26/13', '19.48') to 02-silver
2023-10-02 20:27:11,348.price-producer.INFO [x] Sent ('12/27/13', '1210.9') to 01-gold
2023-10-02 20:27:11,348.price-producer.INFO [x] Sent ('12/27/13', '19.8') to 02-silver
2023-10-02 20:27:41,354.price-producer.INFO [x] Sent ('12/30/13', '1213.8') to 01-gold
2023-10-02 20:27:41,355.price-producer.INFO [x] Sent ('12/30/13', '20.095') to 02-silver
2023-10-02 20:28:11,368.price-producer.INFO [x] Sent ('12/31/13', '1197.4') to 01-gold
2023-10-02 20:28:11,370.price-producer.INFO [x] Sent ('12/31/13', '18.735') to 02-silver
2023-10-02 20:28:41,375.price-producer.INFO [x] Sent ('1/1/14', '1202.3') to 01-gold
2023-10-02 20:28:41,376.price-producer.INFO [x] Sent ('1/1/14', '19.37') to 02-silver
2023-10-02 20:29:11,378.price-producer.INFO [x] Sent ('1/2/14', '1226.5') to 01-gold
2023-10-02 20:29:11,379.price-producer.INFO [x] Sent ('1/2/14', '19.44') to 02-silver
2023-10-02 20:29:41,390.price-producer.INFO [x] Sent ('1/3/14', '1222.3') to 01-gold
2023-10-02 20:29:41,391.price-producer.INFO [x] Sent ('1/3/14', '20.015') to 02-silver
2023-10-02 20:30:11,409.price-producer.INFO [x] Sent ('1/6/14', '1237.4') to 01-gold
2023-10-02 20:30:11,411.price-producer.INFO [x] Sent ('1/6/14', '20.135') to 02-silver
2023-10-02 20:30:41,423.price-producer.INFO [x] Sent ('1/7/14', '1237') to 01-gold
2023-10-02 20:30:41,424.price-producer.INFO [x] Sent ('1/7/14', '20.18') to 02-silver
2023-10-02 20:31:11,433.price-producer.INFO [x] Sent ('1/8/14', '1231') to 01-gold
2023-10-02 20:31:11,434.price-producer.INFO [x] Sent ('1/8/14', '19.83') to 02-silver
2023-10-02 20:31:41,445.price-producer.INFO [x] Sent ('1/9/14', '1224.9') to 01-gold
2023-10-02 20:31:41,446.price-producer.INFO [x] Sent ('1/9/14', '19.525') to 02-silver
2023-10-02 20:32:11,454.price-producer.INFO [x] Sent ('1/10/14', '1227.1') to 01-gold
2023-10-02 20:32:11,455.price-producer.INFO [x] Sent ('1/10/14', '19.55') to 02-silver
2023-10-02 20:32:41,458.price-producer.INFO [x] Sent ('1/13/14', '1247.7') to 01-gold
